,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,38.28414665274893,42.62181894880908,38.28413882983582,38.284132344997765,38.28414665274899,38.28414665274899
1,35.663005444314884,50.384491041144976,35.66299057164909,35.662787633055245,35.66300544431475,35.66300544431475
2,43.27518738602336,76.59739511649217,43.275160246596116,43.27517512635076,43.27518738602343,43.27518738602343
3,34.75536226283692,56.949304530510936,34.75535200445772,34.75535908959123,34.75536226283691,34.75536226283691
4,41.63942894920924,60.50887507212523,41.63942598373011,41.63937032307194,41.639428949209204,41.639428949209204
5,36.37658199984999,43.77441443011831,36.376585279691724,36.376581699670304,36.37658199985008,36.37658199985008
6,30.163544380147897,39.16468030339943,30.163545757113283,30.163543566552146,30.163544380147854,30.163544380147854
7,36.49160671501605,50.1739263468515,36.491599311029226,36.491654629904865,36.49160671501608,36.49160671501608
8,41.87861819962991,40.840734708234464,41.878608308311456,41.87860846978406,41.87861819962999,41.87861819962999
9,36.12281338998771,40.21647229683126,36.122807652143145,36.12281607212016,36.12281338998771,36.12281338998771
