,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,54.72387594650732,89.65950569432111,1209646.5033135037,83.62225870829361,84.02269453976712,54.723875041613574,54.723875041613574
1,28.077489905615035,709.7239374083736,43.602868939649035,64.5818052048883,64.63916215302446,28.07748990676995,28.07748990676995
2,29.302515289533186,475.55708946469537,226462.10431207207,83.78306260688898,84.00092598902503,29.30251542174806,29.30251542174806
3,20.47605960406629,754.7479580070022,43.9565167191505,35.96019719684045,36.37630142820607,20.476059595708264,20.476059595708264
4,83.33240986553827,352.87714981976154,252656.79797471556,39.751816977299995,39.99203972514835,83.33240982287259,83.33240982287259
5,32.652985333856805,549.5932932049034,2650087.1861046082,36.417041798124615,36.623216814362614,32.65298528106595,32.65298528106595
6,19.170052868619212,528.1961149514586,492449.88609434856,68.9649703793885,68.17524272828229,19.170052819075135,19.170052819075135
7,25.48205678997195,455.78453992560156,110090.7588149032,46.94585599147217,46.87585618634178,25.48205679206801,25.48205679206801
8,38.932906788416986,430.73414825912283,30.63233634652913,86.72778330333144,86.8583975335241,38.932906775946826,38.932906775946826
9,30.540723827868277,393.66138455303536,47.36458317228048,62.626389749916804,62.62017861144574,30.54072384203615,30.54072384203615
