,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,12674.062830610319,15324.865678895865,12674.68508567148,12755.74397559572,12755.743977304108,12674.06283052249,12674.063054154038
1,8386.352632553917,10065.521227915488,8386.300785832262,8494.549576216092,8494.549617368819,8386.352632544833,8386.352717819733
2,13737.446111416053,16741.912062361058,13737.536596617823,13836.974293726647,13836.974316448457,13737.44611187266,13737.437834878338
3,9032.120845124493,13109.560162611991,9032.287690186587,9121.886670756077,9121.88668885199,9032.120845140667,9032.121518095837
4,12688.689823013936,15138.847813317776,12688.622443314322,12748.646368805856,12748.646359262322,12688.689823044157,12688.672340720454
5,11993.655375263404,14653.431885460706,11993.580769356948,12074.88661038427,12074.88661073883,11993.655375410448,11993.656204536774
6,8607.467972269884,11383.015317098852,8607.587669850363,8824.096390477222,8824.096406238623,8607.46797225688,8607.469298187269
7,18138.98158389036,19150.558645641224,18139.337278221894,18193.15940564418,18193.15939646822,18138.981583894558,18138.976633886607
8,8625.44283659828,16654.63658216861,186840.2120975889,7860.382970305957,7860.383046986053,2841684475.9905686,8625.442829448522
9,7573.457902945945,9222.570674394128,7573.564010608723,7690.611539053993,7690.611632854968,7573.457902530746,7573.453881949908
